symbol,share,change,transactionDate,transactionCode,transactionPrice,name,filingDate,id
AAPL,4534409,1685,2023-02-01,M,0.0,LEVINSON ARTHUR D,2023-02-03,0000320193-23-000019
AAPL,0,-1685,2023-02-01,M,0.0,JUNG ANDREA,2023-02-03,0000320193-23-000018
AAPL,49937,1685,2023-02-01,M,0.0,JUNG ANDREA,2023-02-03,0000320193-23-000018
AAPL,0,-1685,2023-02-01,M,0.0,Gorsky Alex,2023-02-03,0000320193-23-000017
AAPL,2171,1685,2023-02-01,M,0.0,Gorsky Alex,2023-02-03,0000320193-23-000017
AAPL,0,-1685,2023-02-01,M,0.0,GORE ALBERT JR,2023-02-03,0000320193-23-000016
AAPL,467143,1685,2023-02-01,M,0.0,GORE ALBERT JR,2023-02-03,0000320193-23-000016
AAPL,0,-1685,2023-02-01,M,0.0,BELL JAMES A,2023-02-03,0000320193-23-000015
AAPL,36675,1685,2023-02-01,M,0.0,BELL JAMES A,2023-02-03,0000320193-23-000015
AAPL,109970,-703,2022-12-13,G,0.0,Maestri Luca,2023-04-04,0000320193-23-000049
AAPL,425059,-2275,2022-12-09,G,0.0,Adams Katherine L.,2023-04-04,0000320193-23-000047
AAPL,31505,-20200,2022-11-22,S,148.72,KONDO CHRIS,2022-11-23,0000320193-22-000113
AAPL,110673,-7200,2022-10-28,S,157.2,Maestri Luca,2022-11-01,0000320193-22-000111
AAPL,117873,-69678,2022-10-28,S,156.46,Maestri Luca,2022-11-01,0000320193-22-000111
AAPL,187551,-85147,2022-10-28,S,155.63,Maestri Luca,2022-11-01,0000320193-22-000111
AAPL,272698,-14274,2022-10-28,S,154.7,Maestri Luca,2022-11-01,0000320193-22-000111
AAPL,136290,-8053,2022-10-17,S,142.45,O'BRIEN DEIRDRE,2022-10-18,0000320193-22-000102
AAPL,0,-16612,2022-10-15,M,0.0,O'BRIEN DEIRDRE,2022-10-18,0000320193-22-000102
AAPL,144343,-8559,2022-10-15,F,138.38,O'BRIEN DEIRDRE,2022-10-18,0000320193-22-000102
AAPL,152902,16612,2022-10-15,M,0.0,O'BRIEN DEIRDRE,2022-10-18,0000320193-22-000102
AAPL,11486,-1914,2022-10-15,M,0.0,KONDO CHRIS,2022-10-18,0000320193-22-000101
AAPL,8906,-2226,2022-10-15,M,0.0,KONDO CHRIS,2022-10-18,0000320193-22-000101
AAPL,9140,-4568,2022-10-15,M,0.0,KONDO CHRIS,2022-10-18,0000320193-22-000101
AAPL,0,-4428,2022-10-15,M,0.0,KONDO CHRIS,2022-10-18,0000320193-22-000101
AAPL,51705,-6399,2022-10-15,F,138.38,KONDO CHRIS,2022-10-18,0000320193-22-000101
AAPL,58104,13136,2022-10-15,M,0.0,KONDO CHRIS,2022-10-18,0000320193-22-000101
AAPL,136290,-67026,2022-10-03,S,142.83,O'BRIEN DEIRDRE,2022-10-04,0000320193-22-000097
AAPL,203316,-66880,2022-10-03,S,142.17,O'BRIEN DEIRDRE,2022-10-04,0000320193-22-000097
AAPL,270196,-42393,2022-10-03,S,141.09,O'BRIEN DEIRDRE,2022-10-04,0000320193-22-000097
AAPL,427334,-13250,2022-10-03,S,142.93,Adams Katherine L.,2022-10-04,0000320193-22-000095
AAPL,440584,-65350,2022-10-03,S,142.45,Adams Katherine L.,2022-10-04,0000320193-22-000095
AAPL,505934,-56271,2022-10-03,S,141.19,Adams Katherine L.,2022-10-04,0000320193-22-000095
AAPL,562205,-27669,2022-10-03,S,140.34,Adams Katherine L.,2022-10-04,0000320193-22-000095
AAPL,589874,-13199,2022-10-03,S,139.15,Adams Katherine L.,2022-10-04,0000320193-22-000095
AAPL,603073,-5400,2022-10-03,S,138.44,Adams Katherine L.,2022-10-04,0000320193-22-000095
AAPL,0,-365600,2022-10-01,M,0.0,O'BRIEN DEIRDRE,2022-10-04,0000320193-22-000097
AAPL,312589,-189301,2022-10-01,F,138.2,O'BRIEN DEIRDRE,2022-10-04,0000320193-22-000097
AAPL,501890,365600,2022-10-01,M,0.0,O'BRIEN DEIRDRE,2022-10-04,0000320193-22-000097
AAPL,0,-365600,2022-10-01,M,0.0,Adams Katherine L.,2022-10-04,0000320193-22-000095
AAPL,608473,-184461,2022-10-01,F,138.2,Adams Katherine L.,2022-10-04,0000320193-22-000095
AAPL,792934,365600,2022-10-01,M,0.0,Adams Katherine L.,2022-10-04,0000320193-22-000095
AAPL,0,-365600,2022-10-01,M,0.0,Maestri Luca,2022-10-04,0000320193-22-000096
AAPL,286972,-189301,2022-10-01,F,138.2,Maestri Luca,2022-10-04,0000320193-22-000096
AAPL,476273,365600,2022-10-01,M,0.0,Maestri Luca,2022-10-04,0000320193-22-000096
AAPL,0,-365600,2022-10-01,M,0.0,WILLIAMS JEFFREY E,2022-10-04,0000320193-22-000098
AAPL,677392,-177870,2022-10-01,F,138.2,WILLIAMS JEFFREY E,2022-10-04,0000320193-22-000098
AAPL,855262,365600,2022-10-01,M,0.0,WILLIAMS JEFFREY E,2022-10-04,0000320193-22-000098
AAPL,66477,66477,2022-09-25,A,0.0,WILLIAMS JEFFREY E,2022-09-27,0000320193-22-000090
AAPL,199429,199429,2022-09-25,A,0.0,COOK TIMOTHY D,2022-09-27,0000320193-22-000089
AAPL,66477,66477,2022-09-25,A,0.0,COOK TIMOTHY D,2022-09-27,0000320193-22-000089
AAPL,66477,66477,2022-09-25,A,0.0,O'BRIEN DEIRDRE,2022-09-27,0000320193-22-000088
AAPL,66477,66477,2022-09-25,A,0.0,Maestri Luca,2022-09-27,0000320193-22-000087
AAPL,16620,16620,2022-09-25,A,0.0,KONDO CHRIS,2022-09-27,0000320193-22-000086
AAPL,66477,66477,2022-09-25,A,0.0,Adams Katherine L.,2022-09-27,0000320193-22-000085
AAPL,110673,-30345,2022-08-17,S,175.6,Maestri Luca,2022-08-22,0000320193-22-000078
AAPL,141018,-66390,2022-08-17,S,174.66,Maestri Luca,2022-08-22,0000320193-22-000078
AAPL,110673,-30345,2022-08-17,S,175.6,Maestri Luca,2022-08-19,0000320193-22-000076
AAPL,141018,-66390,2022-08-17,S,174.66,Maestri Luca,2022-08-19,0000320193-22-000076
AAPL,136290,-15366,2022-08-08,S,164.86,O'BRIEN DEIRDRE,2022-08-09,0000320193-22-000074
AAPL,31896,-31896,2022-08-05,M,0.0,O'BRIEN DEIRDRE,2022-08-09,0000320193-22-000074
AAPL,151656,-16530,2022-08-05,F,165.35,O'BRIEN DEIRDRE,2022-08-09,0000320193-22-000074
AAPL,168186,31896,2022-08-05,M,0.0,O'BRIEN DEIRDRE,2022-08-09,0000320193-22-000074
AAPL,427334,-5700,2022-08-03,S,166.28,Adams Katherine L.,2022-08-05,0000320193-22-000072
AAPL,433034,-5568,2022-08-03,S,165.91,Adams Katherine L.,2022-08-05,0000320193-22-000072
AAPL,438602,-5031,2022-08-03,S,164.69,Adams Katherine L.,2022-08-05,0000320193-22-000072
AAPL,443633,-5073,2022-08-03,S,163.69,Adams Katherine L.,2022-08-05,0000320193-22-000072
AAPL,448706,-2928,2022-08-03,S,162.43,Adams Katherine L.,2022-08-05,0000320193-22-000072
AAPL,451634,-700,2022-08-03,S,161.46,Adams Katherine L.,2022-08-05,0000320193-22-000072
AAPL,34990,-1276,2022-05-06,G,0.0,BELL JAMES A,2022-05-13,0000320193-22-000063
AAPL,452334,-2292,2022-05-04,S,165.95,Adams Katherine L.,2022-05-06,0000320193-22-000061
AAPL,454626,-1800,2022-05-04,S,165.06,Adams Katherine L.,2022-05-06,0000320193-22-000061
AAPL,456426,-1550,2022-05-04,S,163.94,Adams Katherine L.,2022-05-06,0000320193-22-000061
AAPL,457976,-900,2022-05-04,S,162.77,Adams Katherine L.,2022-05-06,0000320193-22-000061
AAPL,458876,-4006,2022-05-04,S,161.93,Adams Katherine L.,2022-05-06,0000320193-22-000061
AAPL,462882,-5316,2022-05-04,S,160.82,Adams Katherine L.,2022-05-06,0000320193-22-000061
AAPL,468198,-9136,2022-05-04,S,159.94,Adams Katherine L.,2022-05-06,0000320193-22-000061
AAPL,136290,-3431,2022-04-18,S,165.41,O'BRIEN DEIRDRE,2022-04-19,0000320193-22-000053
AAPL,139721,-4569,2022-04-18,S,164.54,O'BRIEN DEIRDRE,2022-04-19,0000320193-22-000053
AAPL,16612,-16612,2022-04-15,M,0.0,O'BRIEN DEIRDRE,2022-04-19,0000320193-22-000053
AAPL,13400,-1915,2022-04-15,M,0.0,KONDO CHRIS,2022-04-19,0000320193-22-000052
AAPL,11132,-2227,2022-04-15,M,0.0,KONDO CHRIS,2022-04-19,0000320193-22-000052
AAPL,13708,-4572,2022-04-15,M,0.0,KONDO CHRIS,2022-04-19,0000320193-22-000052
AAPL,4428,-4432,2022-04-15,M,0.0,KONDO CHRIS,2022-04-19,0000320193-22-000052
AAPL,144290,-8612,2022-04-15,F,165.29,O'BRIEN DEIRDRE,2022-04-19,0000320193-22-000053
AAPL,152902,16612,2022-04-15,M,0.0,O'BRIEN DEIRDRE,2022-04-19,0000320193-22-000053
AAPL,44921,-5537,2022-04-15,F,165.29,KONDO CHRIS,2022-04-19,0000320193-22-000052
AAPL,50458,13146,2022-04-15,M,0.0,KONDO CHRIS,2022-04-19,0000320193-22-000052
AAPL,489662,-42737,2022-04-04,S,178.19,WILLIAMS JEFFREY E,2022-04-05,0000320193-22-000049
AAPL,532399,-63164,2022-04-04,S,177.46,WILLIAMS JEFFREY E,2022-04-05,0000320193-22-000049
AAPL,136290,-11701,2022-04-04,S,178.18,O'BRIEN DEIRDRE,2022-04-05,0000320193-22-000048
AAPL,147991,-17497,2022-04-04,S,177.49,O'BRIEN DEIRDRE,2022-04-05,0000320193-22-000048
AAPL,121864,-60936,2022-04-01,M,0.0,O'BRIEN DEIRDRE,2022-04-05,0000320193-22-000048
AAPL,121864,-60936,2022-04-01,M,0.0,Maestri Luca,2022-04-05,0000320193-22-000047
AAPL,59064,-59064,2022-04-01,M,0.0,Maestri Luca,2022-04-05,0000320193-22-000047
AAPL,0,-84932,2022-04-01,M,0.0,Maestri Luca,2022-04-05,0000320193-22-000047
AAPL,121864,-60936,2022-04-01,M,0.0,WILLIAMS JEFFREY E,2022-04-05,0000320193-22-000049
AAPL,59064,-59064,2022-04-01,M,0.0,WILLIAMS JEFFREY E,2022-04-05,0000320193-22-000049
AAPL,0,-84932,2022-04-01,M,0.0,WILLIAMS JEFFREY E,2022-04-05,0000320193-22-000049
AAPL,121864,-60936,2022-04-01,M,0.0,Adams Katherine L.,2022-04-05,0000320193-22-000046
AAPL,59064,-59064,2022-04-01,M,0.0,Adams Katherine L.,2022-04-05,0000320193-22-000046
AAPL,595563,-99031,2022-04-01,F,174.31,WILLIAMS JEFFREY E,2022-04-05,0000320193-22-000049
AAPL,694594,204932,2022-04-01,M,0.0,WILLIAMS JEFFREY E,2022-04-05,0000320193-22-000049
AAPL,165488,-31738,2022-04-01,F,174.31,O'BRIEN DEIRDRE,2022-04-05,0000320193-22-000048
AAPL,197226,60936,2022-04-01,M,0.0,O'BRIEN DEIRDRE,2022-04-05,0000320193-22-000048
AAPL,207408,-108197,2022-04-01,F,174.31,Maestri Luca,2022-04-05,0000320193-22-000047
AAPL,315605,204932,2022-04-01,M,0.0,Maestri Luca,2022-04-05,0000320193-22-000047
AAPL,477334,-62381,2022-04-01,F,174.31,Adams Katherine L.,2022-04-05,0000320193-22-000046
AAPL,539715,120000,2022-04-01,M,0.0,Adams Katherine L.,2022-04-05,0000320193-22-000046
AMC,31614,10000,2023-06-12,P,1.33,Gulati Himanshu,2023-06-13,0001140361-23-029681
AMC,132137284,-1000000,2023-06-12,S,1.59,Gulati Himanshu,2023-06-13,0001140361-23-029681
AMC,133137284,-1100000,2023-06-12,S,1.6,Gulati Himanshu,2023-06-13,0001140361-23-029681
AMC,52600,5000,2023-06-09,P,0.26,Gulati Himanshu,2023-06-13,0001140361-23-029681
AMC,33072,4476,2023-06-09,P,0.7,Gulati Himanshu,2023-06-13,0001140361-23-029681
AMC,21614,2500,2023-06-09,P,1.4,Gulati Himanshu,2023-06-13,0001140361-23-029681
AMC,21564,2500,2023-06-09,P,0.83,Gulati Himanshu,2023-06-13,0001140361-23-029681
AMC,21564,2500,2023-06-09,P,1.59,Gulati Himanshu,2023-06-13,0001140361-23-029681
AMC,19114,50,2023-06-09,P,1.36,Gulati Himanshu,2023-06-13,0001140361-23-029681
AMC,134237284,-1884800,2023-06-09,S,1.6,Gulati Himanshu,2023-06-13,0001140361-23-029681
AMC,28596,9532,2023-06-08,P,0.69,Gulati Himanshu,2023-06-09,0001140361-23-029184
AMC,136122084,-1000000,2023-06-08,S,1.61,Gulati Himanshu,2023-06-09,0001140361-23-029184
AMC,137122084,-1000000,2023-06-08,S,1.6,Gulati Himanshu,2023-06-09,0001140361-23-029184
AMC,138122084,-500000,2023-06-07,S,1.6,Gulati Himanshu,2023-06-09,0001140361-23-029184
AMC,138622084,-500000,2023-06-07,S,1.59,Gulati Himanshu,2023-06-09,0001140361-23-029184
AMC,47660,47660,2023-06-06,P,0.25,Gulati Himanshu,2023-06-07,0001140361-23-028851
AMC,139122084,-1247463,2023-06-06,S,1.58,Gulati Himanshu,2023-06-07,0001140361-23-028851
AMC,140369547,-1373975,2023-06-06,S,1.6,Gulati Himanshu,2023-06-07,0001140361-23-028851
AMC,141743522,-1414000,2023-06-05,S,1.59,Gulati Himanshu,2023-06-07,0001140361-23-028851
AMC,19064,19064,2023-06-02,P,1.56,Gulati Himanshu,2023-06-05,0001140361-23-028432
AMC,19064,19064,2023-06-02,P,0.81,Gulati Himanshu,2023-06-05,0001140361-23-028432
AMC,143157522,-337380,2023-06-02,S,1.59,Gulati Himanshu,2023-06-05,0001140361-23-028432
AMC,19064,19064,2023-06-01,P,1.27,Gulati Himanshu,2023-06-05,0001140361-23-028432
AMC,19064,9532,2023-06-01,P,0.67,Gulati Himanshu,2023-06-05,0001140361-23-028432
AMC,9532,9532,2023-06-01,P,0.64,Gulati Himanshu,2023-06-05,0001140361-23-028432
AMC,143494902,-1207946,2023-06-01,S,1.62,Gulati Himanshu,2023-06-05,0001140361-23-028432
AMC,144702848,-500000,2023-05-24,S,1.6,Gulati Himanshu,2023-05-26,0001140361-23-027071
AMC,145202848,-500000,2023-05-23,S,1.6,Gulati Himanshu,2023-05-24,0001140361-23-026459
AMC,145702848,-500000,2023-05-22,S,1.6,Gulati Himanshu,2023-05-24,0001140361-23-026459
AMC,146202848,-1000000,2023-05-19,S,1.6,Gulati Himanshu,2023-05-22,0001140361-23-026081
AMC,147202848,-1000000,2023-05-18,S,1.61,Gulati Himanshu,2023-05-22,0001140361-23-026081
AMC,148202848,-426868,2023-05-17,S,1.6,Gulati Himanshu,2023-05-18,0001140361-23-025552
